Timestamp,Video ID,Comment,Comment ID
2025-03-10 00:09:11,ESWBDhJH5cs,"요즘 편집자 바뀐거 같은데 지금 편집자 느낌이 어디 유튜브 외주 맡긴거 같음. 물쥐 1도 모르고, 예전에 맛있는 느낌도 없고 물쥐 하는 말에 그냥 자막 달아논 느낌임. 감도 없고 재미없음.",UgxLR9WJpkqlePza_a14AaABAg
2025-03-10 00:09:11,ESWBDhJH5cs,물쥐님 어디 지역으로 이사가셨나요,UgxeMkEaUoFZRcou2hl4AaABAg
2025-03-10 00:09:12,ESWBDhJH5cs,점점 영상마다 욕이 느는것같은데 유튜브에 올릴것 생각해서 적당히좀 하지,Ugw4bahZXmXw06N6NqJ4AaABAg
2025-03-10 00:09:12,ESWBDhJH5cs,아..롤이네…,UgzCGYGTHsjq7vyXXOx4AaABAg
2025-03-10 00:09:13,ESWBDhJH5cs,ㅋㅋ잼써,UgytLiLyVDUbRRGTrcJ4AaABAg
2025-03-10 00:09:13,ESWBDhJH5cs,갑자기 욕도 많이하고 소리만 지르는거.같지 왜..<br>보다가 시끄러워서 괴물쥐 영상끈건 또 첨이네<br>19년도 영상이나 보러가야겠다 ㅋㅋ,UgwoIaZDqvKo8z-F_y14AaABAg
2025-03-10 00:09:13,ESWBDhJH5cs,ㄷㄷ,UgzM0gVtoQb2Gsvf0lB4AaABAg
2025-03-10 00:09:14,ESWBDhJH5cs,얘 왜 화장실에서 게임함?,Ugz7uy9e6cY_yckosfJ4AaABAg
2025-03-10 00:09:14,ESWBDhJH5cs,진 원챔으로서 지환이 진은 좀 맛없네 스태틱 가는거부터,UgwuqjtACXHbJ3oVT8t4AaABAg
2025-03-10 00:09:14,ESWBDhJH5cs,ㅜㅜ협곡 하니까 보고싶던 찐텐이 드디어 나오네 반갑다앙,Ugy8jNJQKDaobRc67sN4AaABAg
2025-03-10 00:09:15,ESWBDhJH5cs,루굼마ㅋㅋ,UgzcbY_PxexaGCI_48R4AaABAg
2025-03-10 00:09:15,ESWBDhJH5cs,루굼마 씹ㅋㅋㅋㅋㅋ ㅁㅊ ㅈㄴ웃기네,Ugw5htPG6kxB-gK9h7h4AaABAg
2025-03-10 00:09:15,ESWBDhJH5cs,물지님 롤 실력이 예전만못한거같냐😅,Ugx7PwGzxx7f-Br32hR4AaABAg
2025-03-10 00:09:16,ESWBDhJH5cs,근데 배경왜바뀜??옮김??,UgyZAgNRBZnm6FNBir14AaABAg
2025-03-10 00:09:16,ESWBDhJH5cs,이제 디도스 없는건가요?,UgzH6_hwW7q3tWyP7_x4AaABAg
2025-03-10 00:09:16,ESWBDhJH5cs,와 그마는 그마다,Ugxrf9YGomdjZHRE_-R4AaABAg
2025-03-10 00:09:17,ESWBDhJH5cs,괴물쥐 이사감?,Ugy38w0q6GyT2vp2cRd4AaABAg
2025-03-10 00:09:17,ESWBDhJH5cs,욕이 반이네 구독회수한다,UgxxnAjkBRJpfN5LS-N4AaABAg
